elec_pos,depth,rho,cond
86.25,5.933,161.48,0.006193
87.75,5.933,143.87,0.006951
89.25,5.933,131.49,0.007605
90.75,5.933,121.28,0.008245
92.25,5.933,118.1,0.008467
93.75,5.933,117.91,0.008481
95.25,5.933,118.51,0.008438
96.75,5.933,120.03,0.008331
98.25,5.933,120.48,0.0083
99.75,5.933,120.23,0.008317
101.25,5.933,114.6,0.008726
102.75,5.933,108.68,0.009201
104.25,5.933,102.84,0.009724
105.75,5.933,93.833,0.0107
107.25,5.933,88.564,0.0113
108.75,5.933,83.453,0.012
110.25,5.933,77.665,0.0129
111.75,5.933,70.945,0.0141
113.25,5.933,66.071,0.0151
114.75,5.933,64.072,0.0156
116.25,5.933,62.88,0.0159
117.75,5.933,61.452,0.0163
119.25,5.933,60.196,0.0166
0.75,7.201,150.07,0.006664
2.25,7.201,145.38,0.006879
3.75,7.201,135.26,0.007393
5.25,7.201,126.93,0.007878
6.75,7.201,119.53,0.008366
8.25,7.201,111.87,0.008939
9.75,7.201,103.96,0.009619
11.25,7.201,96.47,0.0104
12.75,7.201,90.54,0.011
14.25,7.201,87.928,0.0114
15.75,7.201,87.308,0.0115
17.25,7.201,87.175,0.0115
18.75,7.201,87.851,0.0114
20.25,7.201,92.758,0.0108
21.75,7.201,106.21,0.009415
23.25,7.201,124.37,0.008041
24.75,7.201,135.53,0.007378
26.25,7.201,136.02,0.007352
27.75,7.201,133.94,0.007466
29.25,7.201,133.45,0.007493
30.75,7.201,133.28,0.007503
32.25,7.201,133.67,0.007481
33.75,7.201,136.06,0.00735
35.25,7.201,124.21,0.008051
36.75,7.201,124.58,0.008027
38.25,7.201,125.01,0.007999
39.75,7.201,127.27,0.007857
41.25,7.201,139.04,0.007192
42.75,7.201,152.04,0.006577
44.25,7.201,157.94,0.006332
45.75,7.201,158.74,0.0063
47.25,7.201,158.73,0.0063
48.75,7.201,157.34,0.006356
50.25,7.201,154.39,0.006477
51.75,7.201,150.09,0.006663
53.25,7.201,143.7,0.006959
54.75,7.201,138.83,0.007203
56.25,7.201,135.01,0.007407
57.75,7.201,130.3,0.007675
59.25,7.201,128.66,0.007772
60.75,7.201,128.26,0.007797
62.25,7.201,129.63,0.007714
63.75,7.201,170.83,0.005854
65.25,7.201,317.64,0.003148
66.75,7.201,377.89,0.002646
68.25,7.201,389.49,0.002567
69.75,7.201,389.31,0.002569
71.25,7.201,386.77,0.002586
72.75,7.201,357.05,0.002801
74.25,7.201,303.11,0.003299
75.75,7.201,245.53,0.004073
77.25,7.201,242.25,0.004128
78.75,7.201,242.46,0.004124
80.25,7.201,242.62,0.004122
81.75,7.201,239.7,0.004172
83.25,7.201,228.84,0.00437
84.75,7.201,205.37,0.004869
86.25,7.201,181.71,0.005503
87.75,7.201,153.08,0.006533
89.25,7.201,133.42,0.007495
90.75,7.201,122.77,0.008145
