elec_pos,depth,rho,cond,groundwater_presence
29.25,7.201,133.45,0.007493,0
30.75,7.201,133.28,0.007503,0
32.25,7.201,133.67,0.007481,0
33.75,7.201,136.06,0.00735,0
35.25,7.201,124.21,0.008051,0
36.75,7.201,124.58,0.008027,0
38.25,7.201,125.01,0.007999,0
39.75,7.201,127.27,0.007857,0
41.25,7.201,139.04,0.007192,0
42.75,7.201,152.04,0.006577,0
44.25,7.201,157.94,0.006332,0
45.75,7.201,158.74,0.0063,0
47.25,7.201,158.73,0.0063,0
48.75,7.201,157.34,0.006356,0
50.25,7.201,154.39,0.006477,0
51.75,7.201,150.09,0.006663,0
53.25,7.201,143.7,0.006959,0
54.75,7.201,138.83,0.007203,0
56.25,7.201,135.01,0.007407,0
57.75,7.201,130.3,0.007675,0
59.25,7.201,128.66,0.007772,0
60.75,7.201,128.26,0.007797,0
62.25,7.201,129.63,0.007714,0
63.75,7.201,170.83,0.005854,0
65.25,7.201,317.64,0.003148,0
66.75,7.201,377.89,0.002646,0
68.25,7.201,389.49,0.002567,0
69.75,7.201,389.31,0.002569,0
71.25,7.201,386.77,0.002586,0
72.75,7.201,357.05,0.002801,0
74.25,7.201,303.11,0.003299,0
75.75,7.201,245.53,0.004073,0
77.25,7.201,242.25,0.004128,0
78.75,7.201,242.46,0.004124,0
80.25,7.201,242.62,0.004122,0
81.75,7.201,239.7,0.004172,0
83.25,7.201,228.84,0.00437,0
84.75,7.201,205.37,0.004869,0
86.25,7.201,181.71,0.005503,0
87.75,7.201,153.08,0.006533,0
89.25,7.201,133.42,0.007495,0
90.75,7.201,122.77,0.008145,0
92.25,7.201,118.55,0.008435,0
93.75,7.201,117.73,0.008494,0
95.25,7.201,118.36,0.008449,0
96.75,7.201,119.16,0.008392,0
98.25,7.201,119.51,0.008368,0
99.75,7.201,119.05,0.0084,0
101.25,7.201,115.37,0.008668,0
102.75,7.201,111.85,0.008941,0
104.25,7.201,108.28,0.009235,0
105.75,7.201,103.88,0.009626,0
107.25,7.201,97.364,0.0103,1
108.75,7.201,89.851,0.0111,1
110.25,7.201,81.548,0.0123,1
111.75,7.201,74.098,0.0135,1
113.25,7.201,68.281,0.0146,1
114.75,7.201,64.475,0.0155,1
116.25,7.201,62.494,0.016,1
117.75,7.201,61.139,0.0164,1
119.25,7.201,60.305,0.0166,1
0.75,8.596,145.6,0.006868,0
2.25,8.596,143.12,0.006987,0
3.75,8.596,134.43,0.007439,0
5.25,8.596,126.49,0.007906,0
6.75,8.596,119.29,0.008383,0
8.25,8.596,111.67,0.008955,0
9.75,8.596,103.72,0.009641,0
11.25,8.596,96.223,0.0104,1
12.75,8.596,90.424,0.0111,1
14.25,8.596,87.892,0.0114,1
15.75,8.596,87.404,0.0114,1
17.25,8.596,87.391,0.0114,1
18.75,8.596,88.027,0.0114,1
20.25,8.596,92.18,0.0108,1
21.75,8.596,104.48,0.009571,0
23.25,8.596,122.47,0.008165,0
24.75,8.596,133.18,0.007509,0
26.25,8.596,134.19,0.007452,0
27.75,8.596,133.16,0.00751,0
29.25,8.596,132.68,0.007537,0
30.75,8.596,132.18,0.007565,0
32.25,8.596,131.77,0.007589,0
33.75,8.596,131.6,0.007599,0
35.25,8.596,124.76,0.008015,0
36.75,8.596,125.27,0.007983,0
38.25,8.596,126.32,0.007916,0
39.75,8.596,130.81,0.007645,0
41.25,8.596,143.32,0.006977,0
42.75,8.596,155.99,0.006411,0
44.25,8.596,161.37,0.006197,0
45.75,8.596,161.03,0.00621,0
47.25,8.596,160.11,0.006246,0
48.75,8.596,159.17,0.006283,0
50.25,8.596,156.61,0.006385,0
51.75,8.596,151.29,0.00661,0
53.25,8.596,144.85,0.006904,0
54.75,8.596,140.19,0.007133,0
56.25,8.596,137.37,0.00728,0
57.75,8.596,134.21,0.007451,0
59.25,8.596,133.61,0.007484,0
60.75,8.596,134.65,0.007427,0
62.25,8.596,135.74,0.007367,0
63.75,8.596,151.36,0.006607,0
65.25,8.596,184.94,0.005407,0
66.75,8.596,209.13,0.004782,0
68.25,8.596,222.58,0.004493,0
69.75,8.596,226.23,0.00442,0
71.25,8.596,229.05,0.004366,0
72.75,8.596,232.58,0.0043,0
74.25,8.596,237.72,0.004207,0
75.75,8.596,238.52,0.004193,0
77.25,8.596,240.48,0.004158,0
78.75,8.596,241.58,0.004139,0
80.25,8.596,241.33,0.004144,0
81.75,8.596,238.21,0.004198,0
83.25,8.596,227.56,0.004394,0
84.75,8.596,205.32,0.00487,0
86.25,8.596,181.52,0.005509,0
87.75,8.596,154.07,0.006491,0
89.25,8.596,133.46,0.007493,0
90.75,8.596,122.26,0.008179,0
92.25,8.596,117.37,0.00852,0
93.75,8.596,116.88,0.008556,0
95.25,8.596,116.74,0.008566,0
96.75,8.596,116.94,0.008551,0
98.25,8.596,116.98,0.008548,0
99.75,8.596,116.55,0.00858,0
101.25,8.596,115.29,0.008674,0
102.75,8.596,113.44,0.008815,0
104.25,8.596,110.63,0.009039,0
105.75,8.596,105.54,0.009475,0
107.25,8.596,98.379,0.0102,1
108.75,8.596,92.649,0.0108,1
110.25,8.596,84.547,0.0118,1
111.75,8.596,76.014,0.0132,1
113.25,8.596,69.012,0.0145,1
114.75,8.596,64.518,0.0155,1
116.25,8.596,62.211,0.0161,1
117.75,8.596,60.9,0.0164,1
119.25,8.596,60.337,0.0166,1
0.75,10.131,138.84,0.007203,0
2.25,10.131,138.27,0.007232,0
3.75,10.131,133.05,0.007516,0
5.25,10.131,125.81,0.007948,0
6.75,10.131,118.88,0.008412,0
8.25,10.131,111.3,0.008985,0
9.75,10.131,103.33,0.009678,0
11.25,10.131,95.822,0.0104,1
12.75,10.131,90.098,0.0111,1
14.25,10.131,87.633,0.0114,1
15.75,10.131,87.245,0.0115,1
